Size, Compilation, Type, Time
1000, "-O", "Sequential", 0.000152
1000, "-O", "Parallel", 0.115211
1000, "-O", "Built-in", 0.000302
1000, "-O2", "Sequential", 0.000152
1000, "-O2", "Parallel", 0.078594
1000, "-O2", "Built-in", 0.000296
1000, "-O3", "Sequential", 0.000153
1000, "-O3", "Parallel", 0.084362
1000, "-O3", "Built-in", 0.000299
1000, "-O", "Sequential", 0.000155
1000, "-O", "Parallel", 0.083733
1000, "-O", "Built-in", 0.000315
1000, "-O2", "Sequential", 0.000164
1000, "-O2", "Parallel", 0.080772
1000, "-O2", "Built-in", 0.000294
1000, "-O3", "Sequential", 0.000153
1000, "-O3", "Parallel", 0.071449
1000, "-O3", "Built-in", 0.000303
1000, "-O", "Sequential", 0.000153
1000, "-O", "Parallel", 0.086183
1000, "-O", "Built-in", 0.000305
1000, "-O2", "Sequential", 0.000153
1000, "-O2", "Parallel", 0.075445
1000, "-O2", "Built-in", 0.000308
1000, "-O3", "Sequential", 0.000148
1000, "-O3", "Parallel", 0.065324
1000, "-O3", "Built-in", 0.000317
1000, "-O", "Sequential", 0.000194
1000, "-O", "Parallel", 0.098720
1000, "-O", "Built-in", 0.000304
1000, "-O2", "Sequential", 0.000149
1000, "-O2", "Parallel", 0.086492
1000, "-O2", "Built-in", 0.000306
1000, "-O3", "Sequential", 0.000160
1000, "-O3", "Parallel", 0.083962
1000, "-O3", "Built-in", 0.000307
1000, "-O", "Sequential", 0.000160
1000, "-O", "Parallel", 0.082164
1000, "-O", "Built-in", 0.000327
1000, "-O2", "Sequential", 0.000152
1000, "-O2", "Parallel", 0.076428
1000, "-O2", "Built-in", 0.000321
1000, "-O3", "Sequential", 0.000199
1000, "-O3", "Parallel", 0.092961
1000, "-O3", "Built-in", 0.000316
1000, "-O", "Sequential", 0.000160
1000, "-O", "Parallel", 0.053958
1000, "-O", "Built-in", 0.000310
1000, "-O2", "Sequential", 0.000157
1000, "-O2", "Parallel", 0.049145
1000, "-O2", "Built-in", 0.000315
1000, "-O3", "Sequential", 0.000149
1000, "-O3", "Parallel", 0.091971
1000, "-O3", "Built-in", 0.000323
1000, "-O", "Sequential", 0.000146
1000, "-O", "Parallel", 0.058986
1000, "-O", "Built-in", 0.000315
1000, "-O2", "Sequential", 0.000148
1000, "-O2", "Parallel", 0.060765
1000, "-O2", "Built-in", 0.000315
1000, "-O3", "Sequential", 0.000146
1000, "-O3", "Parallel", 0.078177
1000, "-O3", "Built-in", 0.000322
1000, "-O", "Sequential", 0.000147
1000, "-O", "Parallel", 0.100238
1000, "-O", "Built-in", 0.000319
1000, "-O2", "Sequential", 0.000153
1000, "-O2", "Parallel", 0.104613
1000, "-O2", "Built-in", 0.000318
1000, "-O3", "Sequential", 0.000164
1000, "-O3", "Parallel", 0.110647
1000, "-O3", "Built-in", 0.000324
1000, "-O", "Sequential", 0.000153
1000, "-O", "Parallel", 0.096651
1000, "-O", "Built-in", 0.000324
1000, "-O2", "Sequential", 0.000178
1000, "-O2", "Parallel", 0.097024
1000, "-O2", "Built-in", 0.000328
1000, "-O3", "Sequential", 0.000153
1000, "-O3", "Parallel", 0.101296
1000, "-O3", "Built-in", 0.000341
1000, "-O", "Sequential", 0.000152
1000, "-O", "Parallel", 0.144393
1000, "-O", "Built-in", 0.000351
1000, "-O2", "Sequential", 0.000166
1000, "-O2", "Parallel", 0.087621
1000, "-O2", "Built-in", 0.000332
1000, "-O3", "Sequential", 0.000152
1000, "-O3", "Parallel", 0.065726
1000, "-O3", "Built-in", 0.000333
2500000, "-O", "Sequential", 0.759689
2500000, "-O", "Parallel", 0.667414
2500000, "-O", "Built-in", 0.758654
2500000, "-O2", "Sequential", 0.770785
2500000, "-O2", "Parallel", 0.635462
2500000, "-O2", "Built-in", 0.750745
2500000, "-O3", "Sequential", 0.758496
2500000, "-O3", "Parallel", 0.670418
2500000, "-O3", "Built-in", 0.747582
2500000, "-O", "Sequential", 0.758049
2500000, "-O", "Parallel", 0.663751
2500000, "-O", "Built-in", 0.749817
2500000, "-O2", "Sequential", 0.746793
2500000, "-O2", "Parallel", 0.636875
2500000, "-O2", "Built-in", 0.749674
2500000, "-O3", "Sequential", 0.783921
2500000, "-O3", "Parallel", 0.634177
2500000, "-O3", "Built-in", 0.750070
2500000, "-O", "Sequential", 0.761194
2500000, "-O", "Parallel", 0.611552
2500000, "-O", "Built-in", 0.750420
2500000, "-O2", "Sequential", 0.748274
2500000, "-O2", "Parallel", 0.676045
2500000, "-O2", "Built-in", 0.751873
1000, "-O", "Sequential", 0.000164
1000, "-O", "Parallel", 0.084356
1000, "-O", "Built-in", 0.000416
1000, "-O2", "Sequential", 0.000162
1000, "-O2", "Parallel", 0.088555
1000, "-O2", "Built-in", 0.000389
1000, "-O3", "Sequential", 0.000163
1000, "-O3", "Parallel", 0.104507
1000, "-O3", "Built-in", 0.000398
1000, "-O", "Sequential", 0.000163
1000, "-O", "Parallel", 0.104331
1000, "-O", "Built-in", 0.000398
1000, "-O2", "Sequential", 0.000173
1000, "-O2", "Parallel", 0.086869
