Size, Compilation, Type, Time
1000, "-O1", "Sequential", 0.000118
1000, "-O1", "Parallel", 0.114744
1000, "-O1", "Built-in", 0.000252
1000, "-O2", "Sequential", 0.000080
1000, "-O2", "Parallel", 0.102021
1000, "-O2", "Built-in", 0.000246
1000, "-O3", "Sequential", 0.000089
1000, "-O3", "Parallel", 0.109937
1000, "-O3", "Built-in", 0.000253
1000, "-O0", "Sequential", 0.000148
1000, "-O0", "Parallel", 0.096764
1000, "-O0", "Built-in", 0.000293
2500000, "-O1", "Sequential", 0.402761
2500000, "-O1", "Parallel", 0.532226
2500000, "-O1", "Built-in", 0.530461
2500000, "-O2", "Sequential", 0.354334
2500000, "-O2", "Parallel", 0.508970
2500000, "-O2", "Built-in", 0.523716
2500000, "-O3", "Sequential", 0.352062
2500000, "-O3", "Parallel", 0.605739
2500000, "-O3", "Built-in", 0.513753
2500000, "-O0", "Sequential", 0.742183
2500000, "-O0", "Parallel", 0.633653
2500000, "-O0", "Built-in", 0.750895
10000, "-O1", "Sequential", 0.001184
10000, "-O1", "Parallel", 0.191782
10000, "-O1", "Built-in", 0.001555
10000, "-O2", "Sequential", 0.000960
10000, "-O2", "Parallel", 0.171718
10000, "-O2", "Built-in", 0.001517
10000, "-O3", "Sequential", 0.001290
10000, "-O3", "Parallel", 0.180882
10000, "-O3", "Built-in", 0.001567
10000, "-O0", "Sequential", 0.001917
10000, "-O0", "Parallel", 0.160895
10000, "-O0", "Built-in", 0.002144
100, "-O1", "Sequential", 0.000007
100, "-O1", "Parallel", 0.025282
100, "-O1", "Built-in", 0.000013
100, "-O2", "Sequential", 0.000007
100, "-O2", "Parallel", 0.027879
100, "-O2", "Built-in", 0.000013
100, "-O3", "Sequential", 0.000008
100, "-O3", "Parallel", 0.025601
100, "-O3", "Built-in", 0.000017
100, "-O0", "Sequential", 0.000024
100, "-O0", "Parallel", 0.030889
100, "-O0", "Built-in", 0.000016
5000, "-O1", "Sequential", 0.000555
5000, "-O1", "Parallel", 0.194040
5000, "-O1", "Built-in", 0.000817
5000, "-O2", "Sequential", 0.000455
5000, "-O2", "Parallel", 0.184763
5000, "-O2", "Built-in", 0.000816
5000, "-O3", "Sequential", 0.000541
5000, "-O3", "Parallel", 0.206673
5000, "-O3", "Built-in", 0.000800
5000, "-O0", "Sequential", 0.000888
5000, "-O0", "Parallel", 0.200615
5000, "-O0", "Built-in", 0.001081
1000000, "-O1", "Sequential", 0.152341
1000000, "-O1", "Parallel", 0.291589
1000000, "-O1", "Built-in", 0.198790
1000000, "-O2", "Sequential", 0.133679
1000000, "-O2", "Parallel", 0.271324
1000000, "-O2", "Built-in", 0.192720
1000000, "-O3", "Sequential", 0.130954
1000000, "-O3", "Parallel", 0.308592
1000000, "-O3", "Built-in", 0.192616
1000000, "-O0", "Sequential", 0.279129
1000000, "-O0", "Parallel", 0.374646
1000000, "-O0", "Built-in", 0.280747
800, "-O1", "Sequential", 0.000068
800, "-O1", "Parallel", 0.108173
800, "-O1", "Built-in", 0.000462
800, "-O2", "Sequential", 0.000064
800, "-O2", "Parallel", 0.082679
800, "-O2", "Built-in", 0.000252
800, "-O3", "Sequential", 0.000070
800, "-O3", "Parallel", 0.093940
800, "-O3", "Built-in", 0.000256
800, "-O0", "Sequential", 0.000124
800, "-O0", "Parallel", 0.084863
800, "-O0", "Built-in", 0.000282
100000, "-O1", "Sequential", 0.014582
100000, "-O1", "Parallel", 0.240660
100000, "-O1", "Built-in", 0.017591
100000, "-O2", "Sequential", 0.012952
100000, "-O2", "Parallel", 0.219167
100000, "-O2", "Built-in", 0.017007
100000, "-O3", "Sequential", 0.012777
100000, "-O3", "Parallel", 0.244553
100000, "-O3", "Built-in", 0.017021
100000, "-O0", "Sequential", 0.040341
100000, "-O0", "Parallel", 0.232951
100000, "-O0", "Built-in", 0.025892
430, "-O1", "Sequential", 0.000037
430, "-O1", "Parallel", 0.063740
430, "-O1", "Built-in", 0.000219
430, "-O2", "Sequential", 0.000034
430, "-O2", "Parallel", 0.055458
430, "-O2", "Built-in", 0.000217
430, "-O3", "Sequential", 0.000034
430, "-O3", "Parallel", 0.070087
430, "-O3", "Built-in", 0.000219
430, "-O0", "Sequential", 0.000060
430, "-O0", "Parallel", 0.083707
430, "-O0", "Built-in", 0.000235
5000000, "-O1", "Sequential", 0.854080
5000000, "-O1", "Parallel", 0.899735
5000000, "-O1", "Built-in", 1.101196
5000000, "-O2", "Sequential", 0.732884
5000000, "-O2", "Parallel", 0.975748
5000000, "-O2", "Built-in", 1.070491
5000000, "-O3", "Sequential", 0.728164
5000000, "-O3", "Parallel", 0.933481
5000000, "-O3", "Built-in", 1.074897
5000000, "-O0", "Sequential", 1.588936
5000000, "-O0", "Parallel", 1.104826
5000000, "-O0", "Built-in", 1.572579
4000, "-O1", "Sequential", 0.000436
4000, "-O1", "Parallel", 0.192564
4000, "-O1", "Built-in", 0.000709
4000, "-O2", "Sequential", 0.000363
4000, "-O2", "Parallel", 0.181788
4000, "-O2", "Built-in", 0.000694
4000, "-O3", "Sequential", 0.000388
4000, "-O3", "Parallel", 0.163634
4000, "-O3", "Built-in", 0.000694
4000, "-O0", "Sequential", 0.000756
4000, "-O0", "Parallel", 0.166413
4000, "-O0", "Built-in", 0.000906
