Size, Compilation, Type, Time
1000, "-O1", "Sequential", 0.000290
1000, "-O1", "Parallel", 0.172405
1000, "-O1", "Built-in", 0.000251
1000, "-O2", "Sequential", 0.000082
1000, "-O2", "Parallel", 0.108279
1000, "-O2", "Built-in", 0.000247
1000, "-O3", "Sequential", 0.000088
1000, "-O3", "Parallel", 0.156211
1000, "-O3", "Built-in", 0.000253
1000, "-O1", "Sequential", 0.000089
1000, "-O1", "Parallel", 0.122399
1000, "-O1", "Built-in", 0.000257
1000, "-O2", "Sequential", 0.000089
1000, "-O2", "Parallel", 0.084071
1000, "-O2", "Built-in", 0.000255
1000, "-O3", "Sequential", 0.000099
1000, "-O3", "Parallel", 0.105533
1000, "-O3", "Built-in", 0.000309
1000, "-O1", "Sequential", 0.000087
1000, "-O1", "Parallel", 0.121670
1000, "-O1", "Built-in", 0.000266
1000, "-O2", "Sequential", 0.000108
1000, "-O2", "Parallel", 0.119873
1000, "-O2", "Built-in", 0.000261
1000, "-O3", "Sequential", 0.000086
1000, "-O3", "Parallel", 0.121996
1000, "-O3", "Built-in", 0.000264
1000, "-O1", "Sequential", 0.000089
1000, "-O1", "Parallel", 0.134471
1000, "-O1", "Built-in", 0.000279
1000, "-O2", "Sequential", 0.000113
1000, "-O2", "Parallel", 0.145622
1000, "-O2", "Built-in", 0.000267
1000, "-O3", "Sequential", 0.000154
1000, "-O3", "Parallel", 0.171569
1000, "-O3", "Built-in", 0.000266
1000, "-O1", "Sequential", 0.000095
1000, "-O1", "Parallel", 0.103915
1000, "-O1", "Built-in", 0.000272
1000, "-O2", "Sequential", 0.000089
1000, "-O2", "Parallel", 0.120678
1000, "-O2", "Built-in", 0.000276
1000, "-O3", "Sequential", 0.000083
1000, "-O3", "Parallel", 0.137151
1000, "-O3", "Built-in", 0.000273
1000, "-O1", "Sequential", 0.000091
1000, "-O1", "Parallel", 0.147275
1000, "-O1", "Built-in", 0.000281
1000, "-O2", "Sequential", 0.000089
1000, "-O2", "Parallel", 0.153490
1000, "-O2", "Built-in", 0.000280
1000, "-O3", "Sequential", 0.000099
1000, "-O3", "Parallel", 0.111509
1000, "-O3", "Built-in", 0.000278
1000, "-O1", "Sequential", 0.000089
1000, "-O1", "Parallel", 0.114801
1000, "-O1", "Built-in", 0.000919
1000, "-O2", "Sequential", 0.000081
1000, "-O2", "Parallel", 0.085222
1000, "-O2", "Built-in", 0.000280
1000, "-O3", "Sequential", 0.000094
1000, "-O3", "Parallel", 0.088124
1000, "-O3", "Built-in", 0.000289
1000, "-O1", "Sequential", 0.000090
1000, "-O1", "Parallel", 0.099889
1000, "-O1", "Built-in", 0.000280
1000, "-O2", "Sequential", 0.000087
1000, "-O2", "Parallel", 0.129608
1000, "-O2", "Built-in", 0.000287
1000, "-O3", "Sequential", 0.000087
1000, "-O3", "Parallel", 0.135476
1000, "-O3", "Built-in", 0.000290
1000, "-O1", "Sequential", 0.000096
1000, "-O1", "Parallel", 0.128357
1000, "-O1", "Built-in", 0.000293
1000, "-O2", "Sequential", 0.000087
1000, "-O2", "Parallel", 0.119576
1000, "-O2", "Built-in", 0.000311
1000, "-O3", "Sequential", 0.000083
1000, "-O3", "Parallel", 0.102832
1000, "-O3", "Built-in", 0.000290
1000, "-O1", "Sequential", 0.000087
1000, "-O1", "Parallel", 0.130514
1000, "-O1", "Built-in", 0.000299
1000, "-O2", "Sequential", 0.000080
1000, "-O2", "Parallel", 0.138111
1000, "-O2", "Built-in", 0.000319
1000, "-O3", "Sequential", 0.000101
1000, "-O3", "Parallel", 0.130012
1000, "-O3", "Built-in", 0.000310
2500000, "-O1", "Sequential", 0.428207
2500000, "-O1", "Parallel", 0.620934
2500000, "-O1", "Built-in", 0.547087
2500000, "-O2", "Sequential", 0.355668
2500000, "-O2", "Parallel", 0.566694
2500000, "-O2", "Built-in", 0.526549
