Size, Compilation, Type, Time
1000, "-O1", "Sequential", 0.000169
1000, "-O1", "Parallel", 0.161110
1000, "-O1", "Built-in", 0.000360
1000, "-O2", "Sequential", 0.000165
1000, "-O2", "Parallel", 0.122139
1000, "-O2", "Built-in", 0.000361
1000, "-O3", "Sequential", 0.000210
1000, "-O3", "Parallel", 0.098840
1000, "-O3", "Built-in", 0.000451
1000, "-O1", "Sequential", 0.000152
1000, "-O1", "Parallel", 0.108375
1000, "-O1", "Built-in", 0.000372
1000, "-O2", "Sequential", 0.000172
1000, "-O2", "Parallel", 0.089251
1000, "-O2", "Built-in", 0.000374
1000, "-O3", "Sequential", 0.000164
1000, "-O3", "Parallel", 0.188135
1000, "-O3", "Built-in", 0.000362
1000, "-O1", "Sequential", 0.000152
1000, "-O1", "Parallel", 0.097904
1000, "-O1", "Built-in", 0.000371
1000, "-O2", "Sequential", 0.000144
1000, "-O2", "Parallel", 0.137976
1000, "-O2", "Built-in", 0.000373
1000, "-O3", "Sequential", 0.000160
1000, "-O3", "Parallel", 0.130495
1000, "-O3", "Built-in", 0.000371
1000, "-O1", "Sequential", 0.000145
1000, "-O1", "Parallel", 0.109579
1000, "-O1", "Built-in", 0.000375
1000, "-O2", "Sequential", 0.000201
1000, "-O2", "Parallel", 0.126297
1000, "-O2", "Built-in", 0.000373
1000, "-O3", "Sequential", 0.000157
1000, "-O3", "Parallel", 0.129213
1000, "-O3", "Built-in", 0.000455
1000, "-O1", "Sequential", 0.000169
1000, "-O1", "Parallel", 0.121671
1000, "-O1", "Built-in", 0.000375
1000, "-O2", "Sequential", 0.000156
1000, "-O2", "Parallel", 0.118785
1000, "-O2", "Built-in", 0.000382
1000, "-O3", "Sequential", 0.000158
1000, "-O3", "Parallel", 0.127648
1000, "-O3", "Built-in", 0.000390
1000, "-O1", "Sequential", 0.000161
1000, "-O1", "Parallel", 0.137792
1000, "-O1", "Built-in", 0.000378
1000, "-O2", "Sequential", 0.000175
1000, "-O2", "Parallel", 0.122645
1000, "-O2", "Built-in", 0.000384
1000, "-O3", "Sequential", 0.000156
1000, "-O3", "Parallel", 0.129746
1000, "-O3", "Built-in", 0.000386
1000, "-O1", "Sequential", 0.000166
1000, "-O1", "Parallel", 0.142946
1000, "-O1", "Built-in", 0.000388
